time_stamp,write_io,read_io
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,32768,892928
7,4096,0
8,36864,12288
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,4096
18,0,0
19,0,0
20,0,4096
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,155648,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,4096
48,0,0
49,0,0
50,0,0
51,16384,0
52,4096,0
53,0,8192
54,4096,49152
55,0,0
56,0,0
57,0,0
58,0,368640
59,0,1032192
60,0,0
61,0,0
62,0,20480
63,0,0
64,0,430080
65,0,0
66,0,0
67,0,0
68,0,0
69,8192,0
70,0,0
71,0,376832
72,0,135168
73,0,0
74,0,200704
75,0,0
76,0,4096
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,12288
83,0,0
84,0,0
85,0,102400
86,0,0
87,0,0
88,0,0
89,0,413696
90,0,2039808
91,0,1671168
92,0,1892352
93,0,655360
94,20480,1806336
95,0,548864
96,0,2961408
97,0,2400256
98,0,2625536
99,0,1150976
100,0,368640
101,0,3887104
102,0,0
103,0,1294336
104,0,352256
105,0,745472
106,0,778240
107,0,1998848
108,0,925696
109,0,1163264
110,0,294912
111,0,1572864
112,0,16384
113,0,1236992
114,0,20480
115,0,897024
116,0,1941504
117,0,1654784
118,0,876544
119,0,307200
120,0,2535424
121,0,2375680
122,0,1081344
123,0,32768
124,0,1036288
125,0,1966080
126,0,450560
127,0,1404928
128,0,339968
129,0,1396736
130,0,1798144
131,0,3428352
132,0,1773568
133,0,2666496
134,0,3731456
135,0,1634304
136,16384,1036288
137,8192,2703360
138,0,892928
139,0,1589248
140,0,585728
141,4096,65536
142,0,0
143,0,933888
144,0,413696
145,0,0
146,0,65536
147,0,225280
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,339968
155,0,1507328
156,0,733184
157,0,0
158,0,0
159,0,475136
160,0,327680
161,0,0
162,0,0
163,0,0
164,0,143360
165,0,98304
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,253952
174,0,0
175,0,638976
176,0,0
177,0,0
178,0,0
179,8192,540672
180,12288,0
181,0,2129920
182,0,0
183,0,1757184
184,0,1196032
185,0,704512
186,0,1921024
187,0,6135808
188,0,1232896
189,0,3768320
190,0,1048576
191,0,4128768
192,0,1445888
193,0,1896448
194,0,4341760
195,0,1056768
196,0,1499136
197,0,1966080
198,0,655360
199,0,3428352
200,0,1671168
201,0,3817472
202,0,1617920
203,0,1671168
204,0,2752512
205,0,4194304
206,0,2359296
207,0,3280896
208,0,0
209,0,5509120
210,0,3899392
211,0,3809280
212,0,1843200
213,0,5103616
214,0,2244608
