time_stamp,write_io,read_io
1,0,0
2,86016,0
3,16384,77824
4,159744,372736
5,20480,8282112
6,0,24178688
7,16384,53403648
8,20480,58322944
9,0,80662528
10,12288,76058624
11,16384,74866688
12,16384,68575232
13,8192,52674560
14,20480,53362688
15,2592768,12521472
16,2760704,83386368
17,12288,78077952
18,8192,79753216
19,0,74883072
20,12288,76349440
21,8192,75632640
22,16384,72556544
23,12288,60813312
24,0,37965824
25,8192,52568064
26,1912832,30461952
27,3330048,90206208
28,12288,82247680
29,0,77107200
30,8192,78336000
31,28672,77651968
32,12288,76623872
33,24576,71581696
34,4096,44093440
35,12288,71503872
36,8192,58576896
37,2633728,47939584
38,2621440,87625728
39,0,78929920
40,8192,73469952
41,12288,73756672
42,12288,70098944
43,8192,75137024
44,0,45215744
45,12288,58494976
46,8192,65851392
47,20480,33202176
48,2629632,51163136
49,1822720,68849664
50,819200,82313216
51,12288,78393344
52,0,79577088
53,24576,78536704
54,8192,77369344
55,8192,45539328
56,12288,34107392
57,0,59744256
58,212992,48332800
59,2412544,75079680
60,2621440,71802880
61,8192,87080960
62,40960,81739776
63,12288,50118656
64,8192,56147968
65,8192,45981696
66,12288,20275200
67,0,15798272
68,16384,55361536
69,888832,49594368
70,2609152,70860800
71,1748992,56627200
72,0,62128128
73,8192,61603840
74,12288,62652416
75,8192,63438848
76,8192,60715008
77,24576,58699776
78,913408,15671296
79,2514944,8192
80,8192,20480
81,12288,0
82,0,0
83,16384,16384
84,12288,0
85,8192,0
86,4096,0
87,8192,0
88,12288,49152
89,8192,0
90,0,0
91,12288,32768
92,40960,126976
93,4096,16384
94,8192,0
95,0,0
96,0,0
97,12288,16384
98,-35143680,-12288
99,8192,32768
