time_stamp,write_io,read_io
2,0,0
4,73728,43044864
6,28672,17297408
8,167936,17133568
10,4096,108199936
12,28672,71438336
14,0,66834432
16,36864,70946816
18,12288,75124736
20,12288,73707520
22,28672,69562368
24,4096,70328320
26,36864,71196672
28,4096,71229440
30,8192,69373952
32,45056,22626304
34,6717440,38309888
36,24576,101130240
38,20480,60928000
40,8192,56946688
42,12288,63373312
44,4096,69656576
46,16384,68493312
48,4096,72003584
50,0,71221248
52,16384,75206656
54,4096,66764800
56,24576,67850240
58,53248,19316736
60,5730304,94056448
62,958464,80949248
64,0,69414912
66,16384,66977792
68,28672,71639040
70,12288,70340608
72,16384,71032832
74,4096,71491584
76,16384,61800448
78,4096,73478144
80,0,73056256
82,24576,25067520
84,6717440,35250176
86,8192,35901440
88,12288,34025472
90,0,25772032
92,647168,18558976
94,0,17108992
96,8192,16969728
98,20480,15679488
100,1126400,225280
102,16384,12288
104,4096,0
106,16384,114688
108,8192,0
110,8192,77824
112,20480,69632
114,8192,20480
116,0,32768
118,20480,40960
120,24576,1130496
122,20480,40960
124,12288,28672
126,4096,0
128,28672,12288
130,24576,32768
132,16384,0
134,12288,20480
136,0,49152
138,24576,0
140,4096,32768
142,12288,45056
144,24576,1712128
146,0,49152
148,36864,0
150,0,0
152,8192,32768
154,28672,196608
156,0,0
158,32768,122880
160,16384,24576
162,16384,0
164,24576,69632
166,0,0
168,24576,0
170,4096,0
172,0,49152
174,28672,0
176,4096,8192
178,8192,49152
180,28672,118784
182,0,49152
184,16384,36864
186,0,0
188,8192,24576
190,24576,16384
192,0,0
194,24576,24576
196,4096,16384
198,0,0
200,16384,32768
202,0,16384
204,24576,24576
206,8192,53248
208,0,8192
210,16384,0
212,4096,77824
214,16384,57344
216,0,0
218,4096,0
220,24576,16384
222,0,32768
224,20480,61440
226,8192,274432
228,0,0
230,20480,106496
232,8192,20480
234,20480,0
236,12288,40960
238,0,36864
240,36864,532480
242,4096,16384
244,8192,151552
246,8192,0
248,4096,581632
250,28672,24576
252,8192,8192
254,8192,73728
256,12288,32768
258,0,12288
260,20480,16384
262,0,28672
264,12288,24576
266,20480,16384
268,4096,8192
270,16384,49152
272,0,8192
274,0,32768
276,16384,0
278,0,32768
280,24576,114688
282,8192,32768
284,0,8192
286,24576,32768
288,0,0
290,12288,0
292,20480,9322496
294,0,7286784
296,24576,8192
298,12288,1875968
300,28672,1556480
302,8192,0
304,0,45056
306,16384,16384
308,0,16384
310,16384,8192
312,20480,1413120
314,0,0
316,20480,1495040
318,0,16384
320,4096,0
322,20480,45056
324,-22364160,-79605760
326,24576,4096
328,8192,40960
330,0,4096
332,8192,8192
334,0,24576
