time_stamp,write_io,read_io
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,36864,0
8,32768,0
9,4096,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,4096
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,16384,0
31,4096,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,155648,0
43,0,32768
44,0,0
45,0,0
46,0,0
47,8192,0
48,0,16384
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,4096,57344
55,0,0
56,0,0
57,0,0
58,0,0
59,0,106496
60,0,1003520
61,0,114688
62,0,102400
63,0,212992
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,372736
71,0,339968
72,0,0
73,0,0
74,0,0
75,28672,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,413696
84,0,102400
85,0,770048
86,0,491520
87,0,716800
88,0,2822144
89,0,737280
90,0,1077248
91,0,0
92,0,3825664
93,0,0
94,0,4841472
95,0,0
96,0,1695744
97,0,2068480
98,0,1376256
99,0,577536
100,0,2293760
101,0,0
102,0,1331200
103,0,1445888
104,0,679936
105,0,1269760
106,0,1040384
107,0,1658880
108,0,516096
109,0,651264
110,0,638976
111,0,323584
112,0,278528
113,0,69632
114,0,385024
115,0,0
116,0,430080
117,0,262144
118,8192,0
119,0,32768
120,12288,0
121,0,8192
122,0,0
123,0,16384
124,0,880640
125,0,0
126,0,4096
127,0,512000
128,0,0
129,0,114688
130,0,0
131,0,405504
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,8192,0
144,0,249856
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,208896
151,0,0
152,0,0
153,0,0
154,0,32768
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,8192,0
161,8192,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,1187840
172,0,16384
173,0,2609152
174,0,1441792
175,0,0
176,0,192512
177,0,2146304
178,0,1183744
179,0,3112960
180,0,1835008
181,0,3203072
182,0,1884160
183,0,274432
184,0,2203648
185,0,1269760
186,8192,2793472
187,0,1589248
188,0,4349952
189,0,0
190,0,6356992
191,0,3088384
192,0,1507328
193,0,2707456
194,0,2924544
195,0,5582848
196,12288,3510272
197,0,4087808
198,0,6696960
199,0,5013504
200,4096,1769472
201,0,2424832
202,0,1335296
203,8192,2314240
204,0,991232
205,8192,3063808
206,0,778240
207,0,405504
208,4096,151552
209,0,471040
210,0,917504
211,0,32768
212,0,0
213,0,0
214,0,0
215,0,32768
216,0,16384
217,0,0
218,0,131072
219,0,0
220,0,0
