time_stamp,write_io,read_io
1,0,0
2,98304,110592
3,12288,8192
4,163840,180224
5,12288,6971392
6,8192,22421504
7,0,56496128
8,8192,67981312
9,0,79769600
10,8192,81522688
11,8192,78602240
12,0,65216512
13,8192,65687552
14,0,22589440
15,1536000,90079232
16,8192,84955136
17,8192,80625664
18,12288,84541440
19,20480,88358912
20,4096,84566016
21,8192,68866048
22,0,32272384
23,12288,42270720
24,770048,28909568
25,770048,108584960
26,8192,87687168
27,0,88473600
28,8192,87719936
29,0,85983232
30,0,65617920
31,8192,35323904
32,24576,77430784
33,274432,61902848
34,1290240,77422592
35,0,85213184
36,8192,82444288
37,0,82169856
38,8192,63074304
39,0,72482816
40,8192,56344576
41,8192,31227904
42,0,66846720
43,0,29515776
44,1032192,38690816
45,512000,101380096
46,8192,77365248
47,20480,75685888
48,8192,79953920
49,12288,82182144
50,0,81068032
51,8192,63430656
52,20480,75726848
53,0,78831616
54,548864,48029696
55,1024000,113504256
56,8192,86286336
57,0,75399168
58,0,63496192
59,8192,60690432
60,0,63905792
61,24576,57278464
62,0,71708672
63,12288,52547584
64,1536000,86097920
65,0,70385664
66,8192,69992448
67,0,71434240
68,0,68829184
69,24576,66072576
70,8192,72683520
71,520192,12455936
72,507904,0
73,-10510336,32768
74,8192,0
75,0,0
76,0,0
77,8192,0
78,8192,0
79,12288,0
80,0,0
81,0,0
82,8192,49152
83,0,0
84,8192,0
85,0,32768
86,8192,0
87,8192,0
88,0,0
89,8192,32768
90,0,0
91,16384,147456
92,8192,0
93,8192,0
